date,description,amount
2025-05-05,Dining Out,-75.73
2025-05-05,Grocery Store,-124.2
2025-05-05,Electricity Bill,-117.44
2025-05-05,Monthly Salary,4200.0
2025-05-06,Pet Supplies,-24.9
2025-05-06,Coffee Shop,-9.61
2025-05-08,Coffee Shop,-7.02
2025-05-08,Coffee Shop,-9.51
2025-05-09,Electricity Bill,-96.99
2025-05-09,Pharmacy,-14.38
2025-05-09,Pet Supplies,-60.45
2025-05-11,Dining Out,-77.25
2025-05-11,Gas Station,-50.34
2025-05-11,Pet Supplies,-71.11
2025-05-12,Internet Service,-75.0
2025-05-14,Online Shopping,-75.59
2025-05-15,Gym Membership,-55.0
2025-05-17,Electricity Bill,-108.9
2025-05-17,Electricity Bill,-148.15
2025-05-19,Grocery Store,-77.76
2025-05-19,Pharmacy,-23.32
2025-05-19,Pet Supplies,-26.2
2025-05-25,Electricity Bill,-156.93
2025-05-25,Pet Supplies,-36.5
2025-05-27,Electricity Bill,-111.49
2025-05-27,Coffee Shop,-6.47
2025-05-27,Coffee Shop,-5.94
2025-05-29,Grocery Store,-105.75
2025-05-29,Dining Out,-111.26
2025-05-29,Pet Supplies,-57.33
2025-05-31,Rent Payment,-1500.0
2025-06-03,Grocery Store,-44.67
2025-06-03,Pharmacy,-43.66
2025-06-04,Dining Out,-69.33
2025-06-04,Gas Station,-46.31
2025-06-04,Monthly Salary,4200.0
2025-06-07,Coffee Shop,-7.57
2025-06-07,Movie Theater,-33.02
2025-06-07,Gas Station,-34.35
2025-06-10,Electricity Bill,-136.07
2025-06-10,Online Shopping,-180.03
2025-06-10,Online Shopping,-156.82
2025-06-11,Internet Service,-75.0
2025-06-14,Gym Membership,-55.0
2025-06-24,Dining Out,-42.3
2025-06-24,Electricity Bill,-103.47
2025-06-28,Dining Out,-74.59
2025-06-28,Pet Supplies,-23.86
2025-06-30,Rent Payment,-1500.0
2025-07-01,Online Shopping,-145.26
2025-07-01,Pharmacy,-26.23
2025-07-04,Movie Theater,-35.41
2025-07-04,Monthly Salary,4200.0
2025-07-05,Grocery Store,-77.29
2025-07-11,Gas Station,-32.98
2025-07-11,Pharmacy,-29.53
2025-07-11,Movie Theater,-18.28
2025-07-11,Internet Service,-75.0
2025-07-14,Gym Membership,-55.0
2025-07-16,Coffee Shop,-5.33
2025-07-16,Grocery Store,-95.21
2025-07-18,Movie Theater,-20.82
2025-07-18,Dining Out,-96.29
2025-07-22,Online Shopping,-163.35
2025-07-22,Online Shopping,-63.79
2025-07-27,Gas Station,-39.51
2025-07-27,Electricity Bill,-107.08
2025-07-30,Rent Payment,-1500.0
2025-08-02,Pharmacy,-42.29
2025-08-02,Pet Supplies,-60.58
2025-08-02,Movie Theater,-19.12
2025-08-03,Monthly Salary,4200.0
2025-08-05,Grocery Store,-128.39
2025-08-05,Movie Theater,-34.38
2025-08-05,Pet Supplies,-60.61
2025-08-09,Pharmacy,-17.34
2025-08-09,Pharmacy,-34.4
2025-08-09,Gas Station,-51.58
2025-08-10,Internet Service,-75.0
2025-08-13,Gym Membership,-55.0
2025-08-19,Gas Station,-45.79
2025-08-22,Grocery Store,-49.96
2025-08-22,Gas Station,-38.44
2025-08-26,Online Shopping,-171.27
2025-08-26,Grocery Store,-147.38
2025-08-29,Rent Payment,-1500.0
2025-08-30,Movie Theater,-37.28
2025-08-31,Grocery Store,-139.36
2025-09-02,Grocery Store,-130.12
2025-09-02,Electricity Bill,-150.14
2025-09-02,Movie Theater,-15.87
2025-09-02,Monthly Salary,4200.0
2025-09-03,Electricity Bill,-148.35
2025-09-03,Electricity Bill,-146.72
2025-09-03,Electricity Bill,-102.79
2025-09-04,Dining Out,-118.88
2025-09-04,Grocery Store,-43.26
2025-09-07,Movie Theater,-19.26
2025-09-07,Dining Out,-63.09
2025-09-08,Electricity Bill,-108.73
2025-09-09,Internet Service,-75.0
2025-09-11,Dining Out,-39.55
2025-09-12,Online Shopping,-140.35
2025-09-12,Gym Membership,-55.0
2025-09-12,Gas Station,-37.23
2025-09-12,Coffee Shop,-11.28
2025-09-14,Dining Out,-107.91
2025-09-21,Pharmacy,-23.29
2025-09-21,Dining Out,-59.32
2025-09-27,Gas Station,-37.78
2025-09-27,Pet Supplies,-64.93
2025-09-27,Gas Station,-42.44
2025-09-28,Rent Payment,-1500.0
2025-10-02,Monthly Salary,4200.0
2025-10-03,Movie Theater,-21.58
2025-10-03,Coffee Shop,-9.89
2025-10-05,Online Shopping,-186.96
2025-10-05,Online Shopping,-192.09
2025-10-06,Gas Station,-48.24
2025-10-06,Pet Supplies,-64.44
2025-10-06,Gas Station,-47.45
2025-10-08,Movie Theater,-20.51
2025-10-08,Coffee Shop,-11.98
2025-10-08,Electricity Bill,-131.46
2025-10-09,Internet Service,-75.0
2025-10-10,Coffee Shop,-4.41
2025-10-10,Pet Supplies,-67.14
2025-10-12,Gym Membership,-55.0
2025-10-14,Pharmacy,-38.26
2025-10-14,Online Shopping,-157.21
2025-10-14,Grocery Store,-104.5
2025-10-17,Coffee Shop,-7.7
2025-10-19,Coffee Shop,-5.18
2025-10-19,Dining Out,-67.22
2025-10-19,Online Shopping,-124.39
2025-10-20,Pet Supplies,-73.65
2025-10-22,Pet Supplies,-36.36
2025-10-22,Electricity Bill,-112.88
2025-10-24,Dining Out,-79.52
2025-10-24,Coffee Shop,-8.74
2025-10-24,Grocery Store,-80.74
2025-10-25,Dining Out,-80.63
2025-10-28,Rent Payment,-1500.0
2025-10-28,Pet Supplies,-77.49
2025-10-28,Online Shopping,-27.92
2025-10-30,Electricity Bill,-107.99
2025-10-30,Online Shopping,-55.04
2025-11-01,Monthly Salary,4200.0
2025-11-02,Movie Theater,-20.75
2025-11-02,Online Shopping,-61.46
2025-11-06,Pet Supplies,-31.68
2025-11-08,Internet Service,-75.0
2025-11-09,Movie Theater,-19.58
2025-11-09,Electricity Bill,-134.22
2025-11-11,Gym Membership,-55.0
2025-11-13,Movie Theater,-30.17
2025-11-13,Coffee Shop,-4.38
2025-11-16,Online Shopping,-99.47
2025-11-16,Grocery Store,-114.79
2025-11-18,Coffee Shop,-4.24
2025-11-18,Online Shopping,-194.21
2025-11-19,Movie Theater,-27.53
2025-11-19,Online Shopping,-146.32
2025-11-22,Pet Supplies,-25.71
2025-11-24,Movie Theater,-15.02
2025-11-25,Electricity Bill,-95.37
2025-11-25,Coffee Shop,-6.19
2025-11-27,Electricity Bill,-121.68
2025-11-27,Gas Station,-51.8
2025-11-27,Rent Payment,-1500.0
2025-12-01,Monthly Salary,4200.0
2025-12-02,Pharmacy,-25.59
2025-12-05,Grocery Store,-95.03
2025-12-05,Pharmacy,-17.71
2025-12-05,Movie Theater,-31.1
2025-12-08,Internet Service,-75.0
2025-12-11,Gym Membership,-55.0
2025-12-12,Gas Station,-50.72
2025-12-12,Movie Theater,-29.62
2025-12-13,Gas Station,-54.54
2025-12-13,Movie Theater,-29.36
2025-12-13,Grocery Store,-52.93
2025-12-19,Coffee Shop,-9.84
2025-12-21,Electricity Bill,-158.08
2025-12-21,Grocery Store,-135.81
2025-12-22,Coffee Shop,-9.34
2025-12-23,Pharmacy,-43.88
2025-12-23,Dining Out,-96.46
2025-12-23,Pet Supplies,-68.19
2025-12-24,Pharmacy,-32.18
2025-12-24,Electricity Bill,-131.71
2025-12-24,Grocery Store,-86.34
2025-12-26,Electricity Bill,-151.1
2025-12-26,Grocery Store,-98.86
2025-12-27,Rent Payment,-1500.0
2025-12-28,Pharmacy,-44.06
2025-12-28,Pet Supplies,-21.58
2025-12-31,Monthly Salary,4200.0
2026-01-02,Movie Theater,-19.05
2026-01-02,Gas Station,-49.25
2026-01-02,Grocery Store,-48.19
2026-01-03,Movie Theater,-34.05
2026-01-03,Dining Out,-46.18
2026-01-05,Pharmacy,-28.51
2026-01-05,Electricity Bill,-131.06
2026-01-07,Online Shopping,-194.25
2026-01-07,Internet Service,-75.0
2026-01-10,Gas Station,-55.34
2026-01-10,Gym Membership,-55.0
2026-01-10,Grocery Store,-86.81
2026-01-18,Online Shopping,-93.32
2026-01-20,Grocery Store,-115.78
2026-01-20,Pharmacy,-42.4
2026-01-20,Pharmacy,-22.51
2026-01-21,Gas Station,-59.5
2026-01-21,Coffee Shop,-11.67
2026-01-25,Movie Theater,-25.76
2026-01-25,Pharmacy,-14.49
2026-01-26,Rent Payment,-1500.0
2026-01-29,Online Shopping,-187.03
2026-01-30,Monthly Salary,4200.0
2026-01-31,Gas Station,-39.35
2026-01-31,Pet Supplies,-36.24
2026-01-31,Pharmacy,-36.84
2026-02-06,Internet Service,-75.0
2026-02-06,Grocery Store,-123.59
2026-02-06,Pet Supplies,-24.27
2026-02-07,Online Shopping,-125.27
2026-02-09,Gym Membership,-55.0
2026-02-10,Gas Station,-57.56
2026-02-10,Electricity Bill,-151.89
2026-02-10,Gas Station,-49.96
2026-02-11,Pharmacy,-32.5
2026-02-11,Movie Theater,-35.65
2026-02-11,Coffee Shop,-4.74
2026-02-13,Gas Station,-30.34
2026-02-13,Grocery Store,-138.72
2026-02-17,Pharmacy,-15.64
2026-02-20,Pet Supplies,-73.21
2026-02-20,Pet Supplies,-78.15
2026-02-20,Gas Station,-44.12
2026-02-22,Gas Station,-47.61
2026-02-24,Gas Station,-40.11
2026-02-24,Gas Station,-55.17
2026-02-24,Online Shopping,-193.86
2026-02-25,Rent Payment,-1500.0
2026-02-27,Gas Station,-53.57
2026-02-27,Pharmacy,-23.06
2026-02-27,Electricity Bill,-117.28
2026-03-01,Monthly Salary,4200.0
2026-03-05,Coffee Shop,-7.6
2026-03-05,Online Shopping,-153.74
2026-03-06,Dining Out,-107.91
2026-03-06,Electricity Bill,-121.04
2026-03-08,Internet Service,-75.0
2026-03-09,Movie Theater,-21.9
2026-03-10,Dining Out,-84.02
2026-03-10,Electricity Bill,-101.43
2026-03-11,Gym Membership,-55.0
2026-03-11,Gas Station,-48.97
2026-03-11,Coffee Shop,-11.34
2026-03-12,Electricity Bill,-128.92
2026-03-15,Pharmacy,-17.65
2026-03-15,Electricity Bill,-124.64
2026-03-15,Pharmacy,-48.73
2026-03-19,Grocery Store,-72.21
2026-03-20,Electricity Bill,-152.27
2026-03-22,Gas Station,-38.72
2026-03-22,Movie Theater,-30.98
2026-03-25,Online Shopping,-173.99
2026-03-25,Grocery Store,-56.92
2026-03-25,Pet Supplies,-21.27
2026-03-27,Rent Payment,-1500.0
2026-03-29,Coffee Shop,-8.29
2026-03-31,Monthly Salary,4200.0
2026-04-01,Grocery Store,-72.59
2026-04-01,Pharmacy,-13.86
2026-04-04,Pet Supplies,-70.93
2026-04-07,Electricity Bill,-92.05
2026-04-07,Internet Service,-75.0
2026-04-09,Pharmacy,-23.58
2026-04-09,Dining Out,-59.89
2026-04-10,Gym Membership,-55.0
2026-04-12,Online Shopping,-84.88
2026-04-12,Pharmacy,-13.42
2026-04-15,Grocery Store,-109.94
